"Sweep (n)","APD","APD value (ms)","APD value (mV)"
367,"APD 20",3.8,31.7999977787958
367,"APD 50",38.4,-9.19999935738745
367,"APD 90",70.6,-63.9999955296519
368,"APD 20",3.8,31.7999977787958
368,"APD 50",39,-9.19999935738745
368,"APD 90",71.2,-63.5999955575915
369,"APD 20",3.7,31.7999977787958
369,"APD 50",38.8,-9.09999936437237
369,"APD 90",71.3,-63.7499955471142
370,"APD 20",3.8,31.9499977683184
370,"APD 50",37.9,-8.99999937135729
370,"APD 90",71.3,-63.5999955575915
371,"APD 20",3.6,31.4999977997505
371,"APD 50",38.4,-9.39999934341762
371,"APD 90",71.5,-63.8499955401292
