"File Name","Ediast (mV)","Peak (mV)","APA (mV)","dV/dt max y (V/s)","Negative dV/dt max y (V/s)","SD1","SD2","SD1_SD2 Ratio","APD 20 (ms)","APD 50 (ms)","APD 90 (ms)"
"18711036",-71.4599950085769,76.6799946439641,148.139989652541,246.799982761223,-98.3999931268418,0.186204785712457,1.20361111111111,0.154705106984732,0.460000000000001,1.72,18.2
"18711040",-73.9459948349318,53.0899962917065,127.035991126638,349.19997560866,-32.6999977159317,0.209775011752009,1.72316666666667,0.12173808593791,0.959999999999996,4.88,25.76
"18711044",-71.7009949917432,56.5399960507268,128.24099104247,378.899973534148,-21.3999985052268,0.320555074137901,2.37555555555556,0.134938992855056,1.74,9.4,36.62
"18711048",-68.9619951830602,57.5399959808776,126.501991163938,329.899976956748,-38.0999973387456,0.207417989148055,1.77022222222222,0.117170593919941,0.74,3.44,26.22
"18711052",-74.4359948007057,58.9999958788978,133.435990679604,355.399975175603,-57.199996004626,0.190918830920368,1.53416666666667,0.124444648074112,0.58,3.72,22.18
"18711056",-74.7729947771665,54.5199961918222,129.292990968989,358.999974924141,-26.9999981140721,0.139064333633355,1.81461111111111,0.0766358878670172,1.2,6.22,27.38
"18711069",-72.3369949473192,54.7699961743599,127.106991121679,356.699975084797,-36.6999974365342,0.169705627484771,1.61166666666667,0.105298217674108,0.819999999999999,4.62,25.34
"18712047",-72.5659949313237,52.7899963126613,125.355991243985,362.699974665696,-24.1999983096496,0.308769961118126,1.91327777777778,0.161382714368195,1.3,6.92,27.02
"18712051",-76.1269946825907,53.3499962735457,129.476990956136,342.29997609063,-28.6999979953285,0.188561808316411,1.479,0.127492771005011,1.1,5.64,21.7
"18712055",-73.5239948644082,58.2899959284907,131.813990792899,378.599973555094,-23.9999983236191,0.271057599454844,2.09383333333333,0.129455193562769,3.04,11.44,30.26
"18712059",-68.7529951976586,55.5299961212745,124.282991318933,319.699977669221,-14.6999989732167,0.391265752256557,2.93077777777778,0.133502360780567,3.16,13.94,43.94
"18712064",-74.4498697997365,61.2799957196416,135.729865519378,362.299974693633,-30.3999978765844,0.393622774860511,2.2735,0.17313515498593,1.52,12.74,33.26
"18712068",-71.1549950298809,52.3699963419979,123.524991371879,313.699978088309,-32.4999977299014,0.124922198009624,1.20127777777778,0.103991100410361,0.879999999999999,3.74,18.12
"18713029",-75.3999947333711,46.5399967492187,121.93999148259,306.899978563284,-26.9999981140717,0.539758176305731,2.69972222222222,0.199931004702195,1.26,7.56,40.5
"18713031",-78.0909945454069,50.3999964796008,128.490991025008,318.299977766998,-24.7999982677406,0.285199735078574,2.23761111111111,0.127457239402496,1.52,9.66,34.62
"18713036",-74.1269948222891,56.7099960388524,130.836990861142,347.299975741381,-31.0999978276902,0.38419468444469,2.08161111111111,0.184566023112558,1.06,6.3,30.12
"18713040",-72.7879324158215,58.9499958823903,131.737928298212,369.899974162787,-29.3999979464338,0.572756492761103,2.70105555555556,0.212049134488571,2.38,10.78,39.24
"18713042",-75.8289947034058,53.7099962484,129.538990951806,309.799978360715,-29.6999979254793,0.353553390593274,2.71444444444444,0.130248895429368,1.84,10.62,40.28
"18716027",-80.7279943612146,72.0999949638734,152.827989325088,319.799977662225,-77.5999945797034,0.450191317355435,2.58916666666667,0.173874985782595,0.5,7.58,38.86
"18716031",-81.3169943200734,61.1899957259281,142.506990046002,381.199973373494,-72.2999949499051,0.120208152801712,1.08505555555556,0.11078525167328,0.459999999999999,2.56,16.36
"18716035",-82.1819942596539,61.1599957280236,143.341989987677,397.199972255907,-35.9999974854286,0.337054232365588,2.00061111111111,0.168475637515775,1.3,8.82,30.3
"18716039",-81.519994305894,53.7799962435106,135.299990549405,387.099972961362,-25.2999982328159,0.398336820068423,2.22194444444444,0.179273978278075,1.74,9.24,33.24
"18716044",-84.4699940998389,49.5899965361787,134.059990636018,384.999973108059,-23.2999983725134,0.372409571424916,2.09822222222222,0.177488145669574,1.68,7.86,31.32
"18716049",-82.7369942208876,60.8999957461843,143.636989967072,385.1999730941,-37.59999737367,0.318198051533946,2.37427777777778,0.134018881241337,1.22,10.82,35.08
"18716053",-77.9709945537888,73.5699948611951,151.540989414984,307.299978535351,-57.6999959697021,0.912167747730647,3.59527777777778,0.25371273212009,0.699999999999999,11.18,52.28
