"Sweep (n)","APD","APD value (ms)","APD value (mV)"
40,"APD 20",0.500000000000004,36.5499974470121
40,"APD 50",3.7,-8.19999942723664
40,"APD 90",23.2,-66.1499953794761
41,"APD 20",0.500000000000004,37.0499974120875
41,"APD 50",3.7,-8.34999941675927
41,"APD 90",23.2,-66.1999953759836
42,"APD 20",0.600000000000001,32.8499977054541
42,"APD 50",3.8,-8.59999939929697
42,"APD 90",23.3,-66.1499953794761
43,"APD 20",0.500000000000004,36.1499974749518
43,"APD 50",3.7,-8.09999943422156
43,"APD 90",23.4,-66.1999953759836
44,"APD 20",0.600000000000001,33.7499976425898
44,"APD 50",3.8,-8.69999939231205
44,"APD 90",23.2,-66.1999953759836
45,"APD 20",0.600000000000001,32.9999976949767
45,"APD 50",3.8,-8.34999941675927
45,"APD 90",23.5,-66.0999953829686
46,"APD 20",0.600000000000001,33.0999976879918
46,"APD 50",3.7,-7.8999994481914
46,"APD 90",23,-66.0999953829686
47,"APD 20",0.500000000000004,37.649997370178
47,"APD 50",3.7,-7.8999994481914
47,"APD 90",23,-66.0999953829686
48,"APD 20",0.5,33.6999976460823
48,"APD 50",3.5,-7.49999947613108
48,"APD 90",22.9,-66.0999953829686
49,"APD 20",0.5,33.6499976495748
49,"APD 50",3.5,-7.14999950057829
49,"APD 90",23,-65.9499953934459
