"Sweep (n)","APD","APD value (ms)","APD value (mV)"
81,"APD 20",1.2,33.9999976251275
81,"APD 50",7.6,-8.09999943422156
81,"APD 90",22.6,-63.0499955960086
82,"APD 20",1.3,32.8499977054541
82,"APD 50",7.5,-7.74999945866878
82,"APD 90",22.5,-63.0499955960086
83,"APD 20",1.2,34.2499976076653
83,"APD 50",7.5,-7.49999947613108
83,"APD 90",22.5,-62.999995599501
84,"APD 20",1.2,34.2499976076653
84,"APD 50",7.6,-7.79999945517632
84,"APD 90",22.7,-62.899995606486
85,"APD 20",1.3,33.3999976670371
85,"APD 50",7.5,-7.54999947263862
85,"APD 90",22.4,-62.999995599501
86,"APD 20",1.2,34.6999975762331
86,"APD 50",7.5,-7.34999948660846
86,"APD 90",22.4,-62.899995606486
87,"APD 20",1.3,33.3499976705295
87,"APD 50",7.5,-7.44999947962354
87,"APD 90",22.6,-62.999995599501
88,"APD 20",1.3,33.0499976914843
88,"APD 50",7.6,-7.84999945168386
88,"APD 90",23,-63.0499955960086
89,"APD 20",1.3,34.1999976111577
89,"APD 50",7.7,-7.84999945168386
89,"APD 90",22.8,-62.7499956169633
90,"APD 20",1.3,33.7999976390974
90,"APD 50",7.7,-7.44999947962354
90,"APD 90",22.8,-62.8499956099784
