"Sweep (n)","APD","APD value (ms)","APD value (mV)"
444,"APD 20",1.6,23.7999983375893
444,"APD 50",10.5,-12.3499991373625
444,"APD 90",38.1,-60.9999957391994
445,"APD 20",1.5,23.7999983375893
445,"APD 50",10.2,-12.2499991443474
445,"APD 90",38.1,-60.9499957426919
446,"APD 20",1.5,23.6499983480667
446,"APD 50",9.9,-12.5999991199002
446,"APD 90",37.9,-61.149995728722
447,"APD 20",1.6,23.7499983410817
447,"APD 50",10.2,-12.39999913387
447,"APD 90",37.8,-61.149995728722
448,"APD 20",1.5,23.9499983271119
448,"APD 50",10.2,-12.3499991373625
448,"APD 90",37.8,-61.0999957322145
