"File Name","Ediast (mV)","Peak (mV)","APA (mV)","dV/dt max y (V/s)","Negative dV/dt max y (V/s)","SD1","SD2","SD1_SD2 Ratio","APD 20 (ms)","APD 50 (ms)","APD 70 (ms)","APD 90 (ms)","Folder","Condition 1","Condition 2","Condition 3","Condition 4"
"14731028",-65.0146453494701,48.8891578341396,113.90380318361,88.1347614388235,-21.8505848996529,0.0707106781186548,0.02,3.53553390593274,1.2,4.3,9.6,42.6,"HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz"
"14116027",-81.5673789382574,26.6113268610298,108.178705799287,27.9744452858685,-12.817382203707,21.6963930694072,0.48522030651341,44.7145199369508,2.3,9.9,63.3,328.4,"HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz"
"14116030",-87.176509531213,28.0151353881025,115.191644919315,36.9873029306974,-13.6718743506208,7.16534871602368,0.179061302681992,40.0161766316932,2.7,10.2,54.1,212.9,"HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz"
"14121001",-73.8952601620385,10.7421869897735,84.637447151812,17.8745806242173,-7.32421840211829,7.88424061023001,0.11617816091954,67.8633621657195,2.89999999999999,15.2,37.2,115.4,"HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz"
"14121028",-88.7512164876684,17.272948398329,106.024164885997,20.0195302991233,-5.49316380158872,53.9993878566127,1.19865900383142,45.049832924967,4.89999999999999,20.3,45.1,172.5,"HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz"
"14204059",-82.7941855206122,12.0849603634952,94.8791458841074,20.3857412192293,-9.76562453615773,2.5809397513309,0.0604501915708812,42.6953113672866,5.7,25.8,70.9,160.7,"HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz"
"14204067",-78.5644493933889,36.1328107837836,114.697260177172,64.6972625520449,-8.54492146913801,3.88908729652602,0.107490421455939,36.1807800532272,3.3,14,49.8,127.9,"HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz"
"14205008",-82.781978489942,37.4145490041543,120.196527494096,99.1210890420009,-11.8001296478573,5.65685424949238,0.161704980842912,34.9825603392373,2.5,11.3,70.3,236.2,"HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz"
"14205014",-84.6313436364769,36.8652326239954,121.496576260472,92.7734330934984,-11.683872212903,2.86378246380552,0.125431034482759,22.8315302956316,2.5,12.2,78.6,239,"HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz"
"14206023",-64.270016478588,59.8144502839661,124.084466762554,104.61425284359,-19.0429678455076,1.76776695296637,0.0700574712643678,25.2330967855741,1.5,5.50000000000001,18.6,82.3,"HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz"
"14731026",-64.5690887300078,42.6025370389881,107.171625768996,74.3408167815007,-17.089842938276,0.459619407771258,0.0172892720306514,26.5840809813403,1.5,4.6,9.8,42.3,"HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz"
"14731029",-64.9963348034648,47.363279000365,112.35961380383,92.4072221733925,-19.7753896857194,0.601040764008566,0.0211590038314176,28.4059102591644,1.4,4.5,10.4,45.1,"HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz"
"14731027",-64.4836395153165,-63.7817352517801,0.701904263536335,0.610351533509856,-15.3808586444484,1.76776695296637,0.0677394636015326,26.0965596563474,0,0.5,1.6,2.3,"HS_Atrial_Tyr_2Hz","HS","Atrial","Tyr","2Hz"
