"Sweep (n)","Peak x (s)","Peak y (mV)"
1,147.1,30.212400908738
2,277.2,32.1044906626185
3,115.6,29.1137681484202
4,458.35,35.8886701703796
5,233.9,36.0717756304326
6,603.2,36.9262677773464
7,266.35,36.6821271639425
8,192.2,37.4145490041543
9,208.05,35.7665998636777
10,275.5,33.8745101097971
11,342.849999999999,33.6303694963932
12,361,33.5082991896912
13,311.349999999999,34.423826489956
14,350.95,34.179685876552
15,293.25,30.151365755387
16,428.049999999999,30.2734360620889
17,544.950000000001,28.1372056948044
18,338.150000000001,28.5644517682613
19,330.650000000001,29.2358384551222
20,381.85,26.7944323210828
21,304.85,30.151365755387
22,499.1,28.0151353881025
23,432.1,31.8603500492146
24,774.35,32.4707015827244
25,392.65,31.6162094358106
26,317.65,29.0527329950692
27,332.4,29.2358384551222
28,582.549999999999,26.5502917076788
29,474.650000000001,30.7006821355458
30,383.25,32.9589828095323
31,306.299999999999,33.7524398030951
32,597.149999999998,34.7290022567109
33,234.849999999999,35.8886701703796
34,246.450000000001,35.4614240969227
35,219.799999999999,35.5224592502737
36,187.400000000001,28.0151353881025
37,281.350000000002,31.5551742824596
38,240.049999999999,33.9965804164991
39,350.849999999999,30.8837875955988
40,381.449999999997,36.3769513971875
41,178.350000000002,36.2548810904855
42,359.599999999999,36.6210920105915
43,208.050000000003,35.8886701703796
44,320.549999999999,34.0576155698501
45,264.950000000001,36.9873029306974
