"Sweep (n)","APD","APD value (ms)","APD value (mV)"
386,"APD 20",2,-0.549999961582946
386,"APD 50",6.9,-28.6999979953283
386,"APD 90",30.5,-66.2499953724912
387,"APD 20",2.1,-1.19999991618097
387,"APD 50",6.8,-28.9999979743735
387,"APD 90",30.3,-66.1999953759836
388,"APD 20",2.1,-1.39999990221113
388,"APD 50",6.9,-29.049997970881
388,"APD 90",30.4,-66.1999953759836
389,"APD 20",2,-0.749999947613108
389,"APD 50",6.8,-28.7499979918358
389,"APD 90",30.5,-66.2999953689987
390,"APD 20",1.9,-0.649999954598027
390,"APD 50",6.6,-28.7999979883433
390,"APD 90",30.4,-66.2499953724912
391,"APD 20",2,-0.649999954598027
391,"APD 50",6.8,-28.7999979883433
391,"APD 90",30.4,-66.1999953759836
392,"APD 20",2,-0.699999951105567
392,"APD 50",6.7,-28.6499979988207
392,"APD 90",30.3,-66.2499953724912
393,"APD 20",2,-1.09999992316589
393,"APD 50",6.8,-28.7499979918358
393,"APD 90",29.8,-66.2999953689987
394,"APD 20",2,-0.94999993364327
394,"APD 50",6.8,-29.1499979638961
394,"APD 90",30,-66.2499953724912
395,"APD 20",2,-0.749999947613108
395,"APD 50",6.7,-28.5999980023132
395,"APD 90",29.9,-66.1499953794761
