"Sweep (n)","APA (mV)"
1,96.6735793926264
2,100.323481563015
3,98.2055617417361
4,97.8210402756249
5,96.405024717882
6,97.6440383309071
7,97.6867629382527
8,97.3693801408276
9,94.915766976118
10,94.6350052707034
11,93.3898881423433
12,93.2983354123169
13,92.9504350382162
14,88.8427692176949
15,90.9973101309847
16,91.8762163392389
17,90.4479937508258
18,90.8813433396178
19,91.4306597197767
20,89.7827105793001
21,88.84887273303
22,90.3015093827835
23,91.7358354865316
24,90.7104449102351
25,91.760249547872
26,91.9372514925899
27,92.3644975660468
28,90.832515216937
29,91.699214394521
30,91.9982866459409
31,93.1030229215937
32,92.4072221733925
33,90.6738238182245
34,88.9770465550671
35,88.4399372055784
36,91.3452105050853
37,91.4550737811171
38,91.9128374312495
39,91.6931108791859
40,89.16015201512
41,88.1835895615042
42,88.7390094569982
43,90.0451617387093
44,91.9921831306058
45,91.9372514925899
46,91.1132769223516
47,91.0522417690006
48,91.571040572484
49,89.904780886002
50,89.4592242665398
51,90.270991806108
52,90.9728960696443
53,91.6931108791859
54,92.4987749034189
55,93.3288529889924
56,94.5922806633578
57,92.2912553820256
58,96.2097122271589
59,98.2665968950871
60,93.1701615902798
61,88.0371051934619
62,87.8784137947493
63,91.2841753517343
64,92.4987749034189
65,90.8630327936125
66,92.9077104308706
67,92.4072221733925
68,94.8120072154213
69,95.3247025035696
70,94.8303177614266
