"Sweep (n)","APD","APD value (ms)","APD value (mV)"
633,"APD 20",1.7,23.9499983271119
633,"APD 50",8,-12.39999913387
633,"APD 90",31.1,-61.149995728722
634,"APD 20",1.7,23.7999983375893
634,"APD 50",8.1,-12.8499991024379
634,"APD 90",31.2,-61.049995735707
635,"APD 20",1.6,24.3499982991722
635,"APD 50",8,-12.6499991164078
635,"APD 90",31.2,-61.0999957322145
636,"APD 20",1.8,23.499998358544
636,"APD 50",8,-12.4999991268851
636,"APD 90",31.4,-61.0999957322145
637,"APD 20",1.7,23.5499983550516
637,"APD 50",8,-12.4499991303776
637,"APD 90",31.3,-61.049995735707
638,"APD 20",1.7,23.7999983375893
638,"APD 50",8,-12.1999991478399
638,"APD 90",31.6,-61.049995735707
639,"APD 20",1.7,23.7999983375893
639,"APD 50",8,-12.4999991268851
639,"APD 90",31.7,-60.9499957426919
640,"APD 20",1.7,24.049998320127
640,"APD 50",8.1,-12.6999991129153
640,"APD 90",31.7,-61.149995728722
641,"APD 20",1.7,23.9499983271119
641,"APD 50",8.2,-12.39999913387
641,"APD 90",31.7,-60.9499957426919
642,"APD 20",1.7,23.9999983236194
642,"APD 50",8.1,-12.5999991199002
642,"APD 90",31.7,-60.9999957391994
